,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2012-01-31,2338938.805534138,1613952.9548323152,1683835.4047677368,2338938.8055341374,2338938.8055341374,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,0.0,0.0,0.0,1648260.8633960353
1,2012-02-29,2340820.0000004107,1290570.5529750567,1364025.1789442361,2340820.0000004107,2340820.0000004107,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,0.0,0.0,0.0,1326638.780916078
2,2012-03-31,2342830.932016081,1990670.259496271,2064373.631732188,2342830.932016081,2342830.932016081,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,0.0,0.0,0.0,2026801.8882992708
3,2012-04-30,2344776.9952694653,2420760.80900062,2494844.8549948037,2344776.9952694653,2344776.9952694653,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,0.0,0.0,0.0,2458959.9647044037
4,2012-05-31,2346787.9272979624,2706263.8654729957,2781351.437894384,2346787.9272979624,2346787.9272979624,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,0.0,0.0,0.0,2743835.0087985434
5,2012-06-30,2348737.28337605,3062503.9437806956,3137389.366248009,2348737.28337605,2348737.28337605,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,0.0,0.0,0.0,3099662.160065384
6,2012-07-31,2350751.6179900747,3418792.8003372466,3489703.9885928757,2350751.6179900747,2350751.6179900747,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,0.0,0.0,0.0,3450806.5289514204
7,2012-08-31,2352765.9526040987,2894594.239271625,2970016.7071058266,2352765.9526040987,2352765.9526040987,578639.697850811,578639.697850811,578639.697850811,578639.697850811,578639.697850811,578639.697850811,0.0,0.0,0.0,2931405.6504549095
8,2012-09-30,2357267.9485805896,2373579.0609442657,2444370.1150973355,2357267.9485805896,2357267.9485805896,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,0.0,0.0,0.0,2409060.946296012
9,2012-10-31,2361920.0110896304,1960104.0433027123,2033753.9227215038,2361920.0110896304,2361920.0110896304,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,0.0,0.0,0.0,1996006.6617489976
10,2012-11-30,2366422.0070195487,1797213.2744796383,1870941.2693607446,2366422.0070195487,2366422.0070195487,-530868.9762308048,-530868.9762308048,-530868.9762308048,-530868.9762308048,-530868.9762308048,-530868.9762308048,0.0,0.0,0.0,1835553.0307887439
11,2012-12-31,2371074.069480465,2158004.1054841597,2232614.378276045,2371074.069480465,2371074.069480465,-175816.5305238973,-175816.5305238973,-175816.5305238973,-175816.5305238973,-175816.5305238973,-175816.5305238973,0.0,0.0,0.0,2195257.5389565676
12,2013-01-31,2375726.132011591,1662922.0923218175,1736778.3904552348,2375726.132011591,2375726.132011591,-677140.2685102033,-677140.2685102033,-677140.2685102033,-677140.2685102033,-677140.2685102033,-677140.2685102033,0.0,0.0,0.0,1698585.8635013876
13,2013-02-28,2379927.9949429315,1320823.4665093913,1392718.7808989913,2379927.9949429315,2379927.9949429315,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,0.0,0.0,0.0,1355049.397346505
14,2013-03-31,2384580.057250922,2037900.8495456155,2113991.7059713765,2384580.057250922,2384580.057250922,-309391.6273108511,-309391.6273108511,-309391.6273108511,-309391.6273108511,-309391.6273108511,-309391.6273108511,0.0,0.0,0.0,2075188.429940071
15,2013-04-30,2389082.0530328485,2452293.514409892,2525995.172093474,2389082.0530328485,2389082.0530328485,99963.72794734545,99963.72794734545,99963.72794734545,99963.72794734545,99963.72794734545,99963.72794734545,0.0,0.0,0.0,2489045.780980194
16,2013-05-31,2393734.115340839,2763625.1381883738,2841932.714207029,2393734.115340839,2393734.115340839,410662.9524182112,410662.9524182112,410662.9524182112,410662.9524182112,410662.9524182112,410662.9524182112,0.0,0.0,0.0,2804397.0677590505
17,2013-06-30,2398236.111191398,3100861.556736739,3174076.621176717,2398236.111191398,2398236.111191398,740040.4057337061,740040.4057337061,740040.4057337061,740040.4057337061,740040.4057337061,740040.4057337061,0.0,0.0,0.0,3138276.516925104
18,2013-07-31,2402888.1735703098,3477346.696801612,3551337.7596894195,2402888.1735703098,2402888.1735703098,1111615.9632795402,1111615.9632795402,1111615.9632795402,1111615.9632795402,1111615.9632795402,1111615.9632795402,0.0,0.0,0.0,3514504.13684985
19,2013-08-31,2407540.235957552,2938039.8818540666,3015512.4722744767,2407540.235957552,2407540.235957552,571074.9303553256,571074.9303553256,571074.9303553256,571074.9303553256,571074.9303553256,571074.9303553256,0.0,0.0,0.0,2978615.166312878
20,2013-09-30,2412042.231816174,2421414.2313770233,2497173.8493772843,2412042.231816174,2412042.231816174,47853.84845450187,47853.84845450187,47853.84845450187,47853.84845450187,47853.84845450187,47853.84845450187,0.0,0.0,0.0,2459896.080270676
21,2013-10-31,2416694.2068982334,2019748.9401922617,2092118.3450585888,2416694.206898233,2416694.206898233,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,-360838.56646739924,0.0,0.0,0.0,2055855.6404308341
22,2013-11-30,2421196.118267968,1865647.1685296344,1940324.2014412219,2421196.118267968,2421196.118267968,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,-519122.6195175702,0.0,0.0,0.0,1902073.4987503977
23,2013-12-31,2425836.6350869155,2217140.385897896,2292281.7729362305,2425836.6350869155,2425836.6350869155,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,-169464.11420756826,0.0,0.0,0.0,2256372.5208793473
24,2014-01-31,2430477.1519058635,1714767.8535158285,1785979.0368666516,2430477.1519058635,2430477.1519058635,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,-681387.254850459,0.0,0.0,0.0,1749089.8970554045
25,2014-02-28,2434668.58645201,1361615.8614639214,1435393.4955159628,2434668.58645201,2434668.58645201,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,-1035186.9970788222,0.0,0.0,0.0,1399481.5893731879
26,2014-03-31,2438634.6865917123,2096605.8903806375,2174905.2991585275,2438634.6865917123,2438634.6865917123,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,-302713.576504179,0.0,0.0,0.0,2135921.1100875335
27,2014-04-30,2442472.8480172306,2490647.8808922106,2564521.689831453,2442472.8480172306,2442472.8480172306,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,85851.7145396837,0.0,0.0,0.0,2528324.5625569145
28,2014-05-31,2446418.6479188637,2832786.2857303196,2907955.8744989717,2446418.6479188637,2446418.6479188637,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,424340.00374873716,0.0,0.0,0.0,2870758.651667601
29,2014-06-30,2450237.1639527017,3142581.633567196,3217524.678551898,2450237.1639527017,2450237.1639527017,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,729054.3513296334,0.0,0.0,0.0,3179291.515282335
30,2014-07-31,2454182.7839023173,3541727.5396576244,3615064.087240262,2454182.7839023173,2454182.7839023173,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,1122887.4843450235,0.0,0.0,0.0,3577070.268247341
31,2014-08-31,2458128.4038519333,2985139.2482370404,3059820.12734077,2458128.4038519333,2458128.4038519333,563295.776769726,563295.776769726,563295.776769726,563295.776769726,563295.776769726,563295.776769726,0.0,0.0,0.0,3021424.1806216594
32,2014-09-30,2461946.7457340825,2469203.769637055,2543828.096099544,2461946.7457340825,2461946.7457340825,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,44191.406428646886,0.0,0.0,0.0,2506138.1521627293
33,2014-10-31,2465892.3656789702,2073673.597484559,2146843.950408183,2465892.3656789702,2465892.3656789702,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,-355379.9796697432,0.0,0.0,0.0,2110512.386009227
34,2014-11-30,2469710.70756112,1924447.226246507,1998805.3396318862,2469710.70756112,2469710.70756112,-507288.51679412613,-507288.51679412613,-507288.51679412613,-507288.51679412613,-507288.51679412613,-507288.51679412613,0.0,0.0,0.0,1962422.190766994
35,2014-12-31,2473656.327511295,2272108.6096746456,2346351.635307785,2473656.327511295,2473656.327511295,-163598.29878059673,-163598.29878059673,-163598.29878059673,-163598.29878059673,-163598.29878059673,-163598.29878059673,0.0,0.0,0.0,2310058.0287306984
