ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,city,real_values,forecast,error
2012-01-31,607384.6404816667,413072.4053022975,440825.4406203049,607384.6404816667,607384.6404816667,-179974.822702992,-179974.822702992,-179974.822702992,-179974.822702992,-179974.822702992,-179974.822702992,0.0,0.0,0.0,427409.81777867465,Athens,445218.67000000004,,13415.622841630247
2012-02-29,608511.8466752748,334248.1626758176,361973.7376314464,608511.8466752748,608511.8466752748,-260717.44806018277,-260717.44806018277,-260717.44806018277,-260717.44806018277,-260717.44806018277,-260717.44806018277,0.0,0.0,0.0,347794.39861509204,Athens,353602.24000000005,,14179.339016354352
2012-03-31,609716.7912270626,523658.25999079074,550963.1440646042,609716.7912270626,609716.7912270626,-71805.51475166305,-71805.51475166305,-71805.51475166305,-71805.51475166305,-71805.51475166305,-71805.51475166305,0.0,0.0,0.0,537911.2764753995,Athens,559861.26,,13051.867589204689
2012-04-30,610882.8665985246,623130.8077506138,650744.7697519661,610882.8665985246,610882.8665985246,26330.452279212204,26330.452279212204,26330.452279212204,26330.452279212204,26330.452279212204,26330.452279212204,0.0,0.0,0.0,637213.3188777368,Athens,625438.7999999999,,13531.450874229311
2012-05-31,612087.8111490353,689123.7759887238,717711.3355943302,612087.8111490353,612087.8111490353,90580.98596353491,90580.98596353491,90580.98596353491,90580.98596353491,90580.98596353491,90580.98596353491,0.0,0.0,0.0,702668.7971125703,Athens,714307.0599999998,,15042.538481759955
2012-06-30,613253.898436092,794871.0027857022,823850.8523131243,613253.898436092,613253.898436092,196216.74208863,196216.74208863,196216.74208863,196216.74208863,196216.74208863,196216.74208863,0.0,0.0,0.0,809470.6405247219,Athens,779620.4400000001,,14380.211788402405
2012-07-31,614458.8552993839,871033.4288183313,899465.4260912467,614458.8552993839,614458.8552993839,270228.5545111253,270228.5545111253,270228.5545111253,270228.5545111253,270228.5545111253,270228.5545111253,0.0,0.0,0.0,884687.4098105092,Athens,880212.9800000001,,14778.016280737473
2012-08-31,615663.8121626757,735406.4941189731,763329.5974822842,615663.8121626757,615663.8121626757,134348.3558075884,134348.3558075884,134348.3558075884,134348.3558075884,134348.3558075884,134348.3558075884,0.0,0.0,0.0,750012.1679702641,Athens,735546.5899999999,,13317.429512020084
2012-09-30,616847.1642596029,628601.3241135754,656051.5551329434,616847.1642596029,616847.1642596029,24479.53852552963,24479.53852552963,24479.53852552963,24479.53852552963,24479.53852552963,24479.53852552963,0.0,0.0,0.0,641326.7027851326,Athens,630918.2,,14724.85234781087
2012-10-31,618069.9614264277,518449.4526948264,546806.6602071499,618069.9614264277,618069.9614264277,-86281.44774773846,-86281.44774773846,-86281.44774773846,-86281.44774773846,-86281.44774773846,-86281.44774773846,0.0,0.0,0.0,531788.5136786893,Athens,521419.1500000001,,15018.146528460667
2012-11-30,619255.1652716615,469517.07121243526,496664.64898859686,619255.1652716615,619255.1652716615,-136180.60061886918,-136180.60061886918,-136180.60061886918,-136180.60061886918,-136180.60061886918,-136180.60061886918,0.0,0.0,0.0,483074.5646527923,Athens,483000.67,,13590.084335804568
2012-12-31,620479.8759117363,535296.2899506295,561763.6686252904,620479.8759117363,620479.8759117363,-72175.6929457406,-72175.6929457406,-72175.6929457406,-72175.6929457406,-72175.6929457406,-72175.6929457406,0.0,0.0,0.0,548304.1829659957,Athens,547119.4400000001,,13459.485659294645
2013-01-31,621704.720706906,424372.9961265492,450137.1229767781,621704.7207069059,621704.7207069059,-184497.64059441767,-184497.64059441767,-184497.64059441767,-184497.64059441767,-184497.64059441767,-184497.64059441767,0.0,0.0,0.0,437207.08011248836,Athens,444993.13999999996,,12930.042864289717
2013-02-28,622811.0321348013,344022.02587067976,370953.2234492455,622811.0321348013,622811.0321348013,-265527.9881106895,-265527.9881106895,-265527.9881106895,-265527.9881106895,-265527.9881106895,-265527.9881106895,0.0,0.0,0.0,357283.04402411176,Athens,369197.1099999999,,13670.179425133741
2013-03-31,624035.8769367336,547465.3320133142,574475.9200414108,624035.8769367336,624035.8769367336,-63255.77702963271,-63255.77702963271,-63255.77702963271,-63255.77702963271,-63255.77702963271,-63255.77702963271,0.0,0.0,0.0,560780.0999071009,Athens,557165.0700000001,,13695.820134309935
2013-04-30,625221.2106160228,629094.3814302317,656859.1721869558,625221.2106160228,625221.2106160228,17592.19108801919,17592.19108801919,17592.19108801919,17592.19108801919,17592.19108801919,17592.19108801919,0.0,0.0,0.0,642813.401704042,Athens,619767.0000000001,,14045.770482913824
2013-05-31,626446.0554179553,711794.4193694973,738723.9191587431,626446.0554179553,626446.0554179553,98891.92602009504,98891.92602009504,98891.92602009504,98891.92602009504,98891.92602009504,98891.92602009504,0.0,0.0,0.0,725337.9814380503,Athens,716179.15,,13385.937720692833
2013-06-30,627631.3891015138,799464.1359337101,827480.7377217736,627631.3891015138,627631.3891015138,185712.11826633077,185712.11826633077,185712.11826633077,185712.11826633077,185712.11826633077,185712.11826633077,0.0,0.0,0.0,813343.5073678446,Athens,824862.75,,14137.230353928986
2013-07-31,628856.2339078578,884583.2294945072,913033.8807758689,628856.2339078578,628856.2339078578,270209.7605926719,270209.7605926719,270209.7605926719,270209.7605926719,270209.7605926719,270209.7605926719,0.0,0.0,0.0,899065.9945005297,Athens,892139.0900000001,,13967.886275339173
2013-08-31,630081.0787096207,758608.6476641143,786982.7749866629,630081.0787096207,630081.0787096207,143088.42436143692,143088.42436143692,143088.42436143692,143088.42436143692,143088.42436143692,143088.42436143692,0.0,0.0,0.0,773169.5030710576,Athens,789092.5899999999,,13813.271915605292
2013-09-30,631266.412388746,637366.580642922,666876.5774646641,631266.412388746,631266.412388746,20772.311552955536,20772.311552955536,20772.311552955536,20772.311552955536,20772.311552955536,20772.311552955536,0.0,0.0,0.0,652038.7239417016,Athens,652798.1999999998,,14837.853522962541
2013-10-31,632491.0968598662,533224.5431973921,561380.8521738683,632491.0968598662,632491.0968598662,-86320.22331331956,-86320.22331331956,-86320.22331331956,-86320.22331331956,-86320.22331331956,-86320.22331331956,0.0,0.0,0.0,546170.8735465466,Athens,540689.58,,15209.978627321776
2013-11-30,633676.2753803051,488630.6105715725,516406.7482288755,633676.2753803051,633676.2753803051,-131339.48604626243,-131339.48604626243,-131339.48604626243,-131339.48604626243,-131339.48604626243,-131339.48604626243,0.0,0.0,0.0,502336.7893340427,Athens,514102.0399999999,,14069.958894832816
2013-12-31,634897.7737271107,545682.4908969188,572013.1952419054,634897.7737271107,634897.7737271107,-75998.75543497044,-75998.75543497044,-75998.75543497044,-75998.75543497044,-75998.75543497044,-75998.75543497044,0.0,0.0,0.0,558899.0182921402,Athens,564678.7100000001,,13114.176949765184
2014-01-31,636119.2720739164,440278.82952955866,467195.3219972899,636119.2720739164,636119.2720739164,-182991.29640769007,-182991.29640769007,-182991.29640769007,-182991.29640769007,-182991.29640769007,-182991.29640769007,0.0,0.0,0.0,453127.97566622635,Athens,461550.5200000001,,14067.346331063542
2014-02-28,637222.5609032891,352697.8846581276,380325.00903279654,637222.5609032891,637222.5609032891,-270178.39215139515,-270178.39215139515,-270178.39215139515,-270178.39215139515,-270178.39215139515,-270178.39215139515,0.0,0.0,0.0,367044.168751894,Athens,367226.25999999995,,13280.840280902572
2014-03-31,638433.9339175207,569609.255828983,597754.3641512003,638433.9339175207,638433.9339175207,-54742.82640146269,-54742.82640146269,-54742.82640146269,-54742.82640146269,-54742.82640146269,-54742.82640146269,0.0,0.0,0.0,583691.107516058,Athens,574811.2000000001,,14063.256635142257
2014-04-30,639606.2303829058,633635.4694965772,662571.9336681518,639606.2303829058,639606.2303829058,8823.967580255548,8823.967580255548,8823.967580255548,8823.967580255548,8823.967580255548,8823.967580255548,0.0,0.0,0.0,648430.1979631614,Athens,665419.19,,14141.735704990453
2014-05-31,640096.8139711167,734137.0129511855,760547.1243688739,640096.8139711167,640096.8139711167,107154.56909263215,107154.56909263215,107154.56909263215,107154.56909263215,107154.56909263215,107154.56909263215,0.0,0.0,0.0,747251.3830637488,Athens,754682.47,,13295.741305125062
2014-06-30,640571.5722822885,802747.5216482847,829057.8474444302,640571.5722822885,640571.5722822885,175145.87992091128,175145.87992091128,175145.87992091128,175145.87992091128,175145.87992091128,175145.87992091128,0.0,0.0,0.0,815717.4522031997,Athens,827859.1299999998,,13340.395241230493
2014-07-31,641060.8616788139,897546.0785150247,924986.9461237972,641060.8616788139,641060.8616788139,270365.1947789512,270365.1947789512,270365.1947789512,270365.1947789512,270365.1947789512,270365.1947789512,0.0,0.0,0.0,911426.0564577652,Athens,903293.5399999999,,13560.889666032046
2014-08-31,641550.1510753395,778759.9469009598,807280.9131296749,641550.1510753395,641550.1510753395,151817.1898409547,151817.1898409547,151817.1898409547,151817.1898409547,151817.1898409547,151817.1898409547,0.0,0.0,0.0,793367.3409162943,Athens,789395.6299999999,,13913.572213380598
2014-09-30,642023.5962852231,644608.0472070068,673153.5973176481,642023.5962852233,642023.5962852233,16982.966129654098,16982.966129654098,16982.966129654098,16982.966129654098,16982.966129654098,16982.966129654098,0.0,0.0,0.0,659006.5624148772,Athens,669460.7799999999,,14147.034902770887
2014-10-31,642512.8230021031,542554.0933984504,569530.4476257364,642512.8230021031,642512.8230021031,-86271.25207534894,-86271.25207534894,-86271.25207534894,-86271.25207534894,-86271.25207534894,-86271.25207534894,0.0,0.0,0.0,556241.5709267542,Athens,565233.3,,13288.876698982203
2014-11-30,642986.2682119868,503497.4107961148,529594.5163714119,642986.2682119868,642986.2682119868,-126531.64859554118,-126531.64859554118,-126531.64859554118,-126531.64859554118,-126531.64859554118,-126531.64859554118,0.0,0.0,0.0,516454.61961644556,Athens,510185.5800000001,,13139.896754966292
2014-12-31,643475.4949268269,549332.4393365936,577652.4267516056,643475.4949268269,643475.4949268269,-79914.52862690939,-79914.52862690939,-79914.52862690939,-79914.52862690939,-79914.52862690939,-79914.52862690939,0.0,0.0,0.0,563560.9662999175,Athens,571610.9199999999,,14091.460451688035
2015-01-31,643964.7216416672,448560.5522988678,476469.18303675606,643964.7216416672,643964.7216416672,-181484.27509612453,-181484.27509612453,-181484.27509612453,-181484.27509612453,-181484.27509612453,-181484.27509612453,0.0,0.0,0.0,462480.4465455427,Athens,443308.1700000001,,13988.736491213378
2015-02-28,644406.6038413814,356310.3924029869,383183.28506362037,644406.6038413814,644406.6038413814,-274666.6046905846,-274666.6046905846,-274666.6046905846,-274666.6046905846,-274666.6046905846,-274666.6046905846,0.0,0.0,0.0,369739.9991507968,Athens,373349.70999999996,,13443.285912823572
2015-03-31,644895.8305624936,586317.7163858152,611660.9113976057,644895.8305624936,644895.8305624936,-46275.25198492801,-46275.25198492801,-46275.25198492801,-46275.25198492801,-46275.25198492801,-46275.25198492801,0.0,0.0,0.0,598620.5785775656,Athens,610265.67,,13040.332820040057
2015-04-30,645369.2757754258,631984.2902909791,659422.5266019655,645369.2757754258,645369.2757754258,30.4690733802465,30.4690733802465,30.4690733802465,30.4690733802465,30.4690733802465,30.4690733802465,0.0,0.0,0.0,645399.7448488061,Athens,634360.08,,14022.781753159477
2015-05-31,645858.5024954558,746987.3222332981,774573.7779963745,645858.5024954558,645858.5024954558,115363.16526558039,115363.16526558039,115363.16526558039,115363.16526558039,115363.16526558039,115363.16526558039,0.0,0.0,0.0,761221.6677610362,Athens,760678.9099999998,,13352.110235338332
2015-06-30,646332.3170168551,796989.0891952757,824323.4375252818,646332.3170168551,646332.3170168551,164527.25929482625,164527.25929482625,164527.25929482625,164527.25929482625,164527.25929482625,164527.25929482625,0.0,0.0,0.0,810859.5763116814,Athens,794404.3099999999,,13463.86121360038
