date,Athens,Irakleion,Larisa,Patra,Thessaloniki
2012-01-31,445218.67000000004,305429.13,234666.54999999996,395595.16,324704.85
2012-02-29,353602.24000000005,231856.89,187992.27,321597.41,249272.04999999996
2012-03-31,559861.26,355348.76,262872.93,469277.0100000001,392820.41
2012-04-30,625438.7999999999,421075.87,330782.58999999997,597565.4400000001,477103.50999999995
2012-05-31,714307.0599999998,484948.86000000004,361100.86000000004,634116.15,520266.26999999996
2012-06-30,779620.4400000001,550324.08,417641.94999999995,730988.1699999999,570051.7899999999
2012-07-31,880212.9800000001,601505.8700000001,452813.3599999999,840429.46,640742.07
2012-08-31,735546.5899999999,494229.7,378264.8,710213.73,569474.37
2012-09-30,630918.2,413224.68999999994,288828.17,583342.71,459481.4600000001
2012-10-31,521419.1500000001,366514.52999999997,264309.7,474344.96,376278.82
2012-11-30,483000.67,334316.34,268793.49999999994,445942.00000000006,339735.18
2012-12-31,547119.4400000001,421193.21,314165.08,521283.8,416782.2100000001
2013-01-31,444993.13999999996,310279.17,226843.12999999998,401860.29000000004,335462.38
2013-02-28,369197.1099999999,228128.13,195688.52,337208.47,275314.53
2013-03-31,557165.0700000001,369295.43000000005,263235.27,481964.38999999996,417414.98000000004
2013-04-30,619767.0000000001,418840.22000000003,330583.67,594549.68,477690.72
2013-05-31,716179.15,498072.96,372625.2,646081.87,558765.82
2013-06-30,824862.75,567236.18,406838.2900000001,723491.9,590654.96
2013-07-31,892139.0900000001,614673.0900000001,470807.56000000006,850618.4199999999,672795.57
2013-08-31,789092.5899999999,516437.99000000005,381445.88,722710.01,572895.16
2013-09-30,652798.1999999998,415006.01000000007,305513.22,603441.86,474065.93999999994
2013-10-31,540689.58,377958.15,265268.49999999994,500110.0500000001,386500.0299999999
2013-11-30,514102.0399999999,352720.27,271594.82,456130.44,349055.14
2013-12-31,564678.7100000001,416473.33999999997,316770.55000000005,532048.86,426450.58999999997
2014-01-31,461550.5200000001,315806.97,225354.89,406214.54000000004,349846.26
2014-02-28,367226.25999999995,235486.41000000003,190947.76,338562.55999999994,272549.09
2014-03-31,574811.2000000001,365291.6099999999,276735.5299999999,503877.06,422668.6699999999
2014-04-30,665419.19,437982.77,340764.06,611150.48,487972.56999999995
2014-05-31,754682.47,494240.89999999997,383104.3,691798.35,575953.26
2014-06-30,827859.1299999998,584053.41,408147.5900000001,747824.4399999998,594098.5999999999
2014-07-31,903293.5399999999,604601.06,481389.68000000005,862010.6099999999,696292.1499999999
2014-08-31,789395.6299999999,521587.94000000006,395336.38999999996,707503.05,590922.91
2014-09-30,669460.7799999999,438197.43999999994,284110.47,649320.98,479028.85000000003
2014-10-31,565233.3,380942.4699999999,272862.60000000003,497395.23999999993,410752.7
2014-11-30,510185.5800000001,331004.3400000001,270765.48000000004,473407.67999999993,351850.52
2014-12-31,571610.9199999999,435519.18,304914.1400000001,565154.79,437795.38
2015-01-31,443308.1700000001,299963.24,230856.27,412572.11999999994,351979.68000000005
2015-02-28,373349.70999999996,247059.49,194417.36000000002,360179.8900000001,286984.39
2015-03-31,610265.67,382977.92999999993,285925.42,513839.94999999995,420465.85
2015-04-30,634360.08,455978.02999999997,344155.44999999995,641905.89,512539.88999999996
2015-05-31,760678.9099999998,526275.3200000001,388200.42000000004,706071.9400000001,559702.34
2015-06-30,794404.3099999999,593821.62,431900.60000000003,777099.8300000001,642799.28
2015-07-31,922563.0700000002,647933.3400000001,487218.81,907494.3600000002,684627.41
2015-08-31,801280.72,535829.6299999999,388944.13,716604.0800000001,598934.78
2015-09-30,652841.4300000002,439494.48999999993,324410.63,635081.62,474572.51
2015-10-31,563933.5299999999,381325.92,266199.22,507550.8700000001,425184.76
2015-11-30,535287.42,366995.97000000003,272115.07,485863.0099999999,367035.30000000005
2015-12-31,564595.3300000001,436074.87,331387.48,571480.8,468947.54000000004
2016-01-31,468462.16,330246.43,237382.46999999997,416643.37,364199.98
2016-02-29,395792.6100000001,248899.34999999998,196125.09000000003,359660.64,291604.51999999996
2016-03-31,579078.58,371177.18000000005,271376.97000000003,521891.95,435128.77
2016-04-30,693776.8099999999,456973.66000000003,357548.45999999996,628990.5499999999,505151.60000000003
2016-05-31,747711.14,522166.38,390287.81999999995,710001.4199999999,568472.95
2016-06-30,868562.0099999999,607006.02,452108.48999999993,802347.4000000001,594757.6800000002
2016-07-31,940508.3299999998,646926.0600000002,459467.8,902992.9899999999,710978.24
2016-08-31,796378.7799999999,545832.94,398756.05,762467.36,621617.88
2016-09-30,691807.86,439880.67,316203.64999999997,668308.9,518302.13
2016-10-31,598052.94,392865.87000000005,275865.75,513418.1899999999,422150.33999999997
2016-11-30,535362.35,360786.60000000003,288255.39,453389.2699999999,377982.15
2016-12-31,596437.6100000001,433726.62999999995,329296.23999999993,577014.3999999999,468662.7500000001
2017-01-31,482021.28999999986,344613.59,252248.26,442650.3300000001,361057.9099999999
2017-02-28,389259.75,236451.55,198230.26,370066.16000000003,285811.67000000004
2017-03-31,600845.85,393199.41,287306.32999999996,538323.96,436810.99
2017-04-30,718238.77,473986.26999999996,338376.8699999999,655614.61,525913.0199999999
2017-05-31,774900.2299999999,532834.0,399925.44999999995,703372.39,599069.7
2017-06-30,881650.56,607486.05,449902.56999999995,788609.8799999999,654214.75
2017-07-31,963351.7400000002,645921.7100000001,501170.25000000006,929329.5700000001,730569.2
2017-08-31,842310.5399999998,576214.29,425735.81999999995,796839.4199999999,624376.2499999999
2017-09-30,717119.11,455805.85,332610.42,684242.9100000001,501629.25999999995
2017-10-31,595216.5599999998,410071.1,277041.36,511524.26,441794.04999999993
2017-11-30,548453.6799999999,375836.58999999997,283354.75,495576.05999999994,365166.87
2017-12-31,612902.5300000001,436604.1400000001,313872.24,573068.23,474749.27
