date,city,lat,long,pop,shop,brand,container,capacity,price,quantity,price_ml,profit,profit_per_capita
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,glass-500ml,500.0,0.96,13280.0,0.0019199999999999998,12748.8,0.018967759213247438
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,plastic-1.5lt,1500.0,2.86,6727.0,0.0019066666666666665,19239.219999999998,0.02862425423653162
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,can-330ml,330.0,0.87,9848.0,0.0026363636363636363,8567.76,0.012747176885423952
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,adult-cola,glass-500ml,500.0,1.0,20050.0,0.002,20050.0,0.029830538735066133
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,adult-cola,can-330ml,330.0,0.39,25696.0,0.0011818181818181819,10021.44,0.014909972773124247
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,orange-power,glass-500ml,500.0,1.0,15041.0,0.002,15041.0,0.022378111377263327
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,orange-power,can-330ml,330.0,0.43,34578.0,0.001303030303030303,14868.539999999999,0.02212152410991921
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,gazoza,glass-500ml,500.0,0.49,44734.0,0.00098,21919.66,0.03261223275259251
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,glass-500ml,500.0,0.7,18623.0,0.0014,13036.099999999999,0.019395206284498534
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,plastic-1.5lt,1500.0,2.21,9645.0,0.0014733333333333332,21315.45,0.03171328463243718
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,can-330ml,330.0,0.52,19818.0,0.0015757575757575758,10305.36,0.015332391055301802
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,kinder-cola,glass-500ml,500.0,1.51,8943.0,0.00302,13503.93,0.10061116533426713
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,kinder-cola,plastic-1.5lt,1500.0,1.62,15073.0,0.00108,24418.260000000002,0.18192849000514086
