,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2012-01-31,2338938.805534138,1610929.5619876867,1686600.3692165443,2338938.8055341374,2338938.8055341374,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,-690677.9421381026,0.0,0.0,0.0,1648260.8633960353
1,2012-02-29,2340820.0000004107,1286122.7949655722,1364912.2463943055,2340820.0000004107,2340820.0000004107,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,-1014181.2190843327,0.0,0.0,0.0,1326638.780916078
2,2012-03-31,2342830.932016081,1987329.2135692548,2063730.7959218447,2342830.932016081,2342830.932016081,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,-316029.04371681035,0.0,0.0,0.0,2026801.8882992708
3,2012-04-30,2344776.9952694653,2418417.9975788966,2499397.369666225,2344776.9952694653,2344776.9952694653,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,114182.96943493852,0.0,0.0,0.0,2458959.9647044037
4,2012-05-31,2346787.9272979624,2705139.050877114,2781765.4489124133,2346787.9272979624,2346787.9272979624,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,397047.08150058094,0.0,0.0,0.0,2743835.0087985434
5,2012-06-30,2348737.28337605,3060033.0916241664,3138232.626832766,2348737.28337605,2348737.28337605,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,750924.8766893339,0.0,0.0,0.0,3099662.160065384
6,2012-07-31,2350751.6179900747,3416030.899636966,3488671.9579187674,2350751.6179900747,2350751.6179900747,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,1100054.910961346,0.0,0.0,0.0,3450806.5289514204
7,2012-08-31,2352765.9526040987,2896724.024909751,2968154.1859949687,2352765.9526040987,2352765.9526040987,578639.697850811,578639.697850811,578639.697850811,578639.697850811,578639.697850811,578639.697850811,0.0,0.0,0.0,2931405.6504549095
8,2012-09-30,2357267.9485805896,2369012.7842441555,2445884.6053785854,2357267.9485805896,2357267.9485805896,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,51792.99771542265,0.0,0.0,0.0,2409060.946296012
9,2012-10-31,2361920.0110896304,1959947.2577640403,2034556.6857021009,2361920.0110896304,2361920.0110896304,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,-365913.34934063273,0.0,0.0,0.0,1996006.6617489976
10,2012-11-30,2366422.0070195487,1799187.464790152,1873891.130823696,2366422.0070195487,2366422.0070195487,-530868.9762308048,-530868.9762308048,-530868.9762308048,-530868.9762308048,-530868.9762308048,-530868.9762308048,0.0,0.0,0.0,1835553.0307887439
11,2012-12-31,2371074.069480465,2160506.2520789662,2231048.7836113865,2371074.069480465,2371074.069480465,-175816.5305238973,-175816.5305238973,-175816.5305238973,-175816.5305238973,-175816.5305238973,-175816.5305238973,0.0,0.0,0.0,2195257.5389565676
12,2013-01-31,2375726.132011591,1661711.0704885488,1737172.9681136636,2375726.132011591,2375726.132011591,-677140.2685102033,-677140.2685102033,-677140.2685102033,-677140.2685102033,-677140.2685102033,-677140.2685102033,0.0,0.0,0.0,1698585.8635013876
13,2013-02-28,2379927.9949429315,1317467.8658778484,1391771.7372863244,2379927.9949429315,2379927.9949429315,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,-1024878.5975964265,0.0,0.0,0.0,1355049.397346505
